"SOCIALCOMMERCE_SETTINGS_GLOBAL_DESCRIPTION";"General settings of Social Commerce. These settings affect all members in your community."
"SOCIALCOMMERCE_SETTINGS_LEVEL_DESCRIPTION";"There settings applied per member level basic. If certain actions are not allowed for certain member level, users of said member level aren't able to perform them. Start by selecting member level you want to modify, then adjust the settings for that level below according to your preferences."
"SOCIALCOMMERCE_AUTH_VIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can see their listings. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"SOCIALCOMMERCE_AUTH_COMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can add photo to their listings. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"SOCIALCOMMERCE_AUTH_SHARE_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can add videos to their listings. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"SOCIALCOMMERCE_AUTH_PHOTO_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can add discussions to their listings. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"SOCIALCOMMERCE_AUTH_VIDEO_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can post comment on their listings. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"SOCIALCOMMERCE_AUTH_DISCUSSION_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can print their listings. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"Payment Method";"@@Payment Method"
"Member Level";"@@Member Level"
"Online Payment";"@@Online Payment"
"Offline Payment/Cash On Delivery";"@@Offline Payment/Cash On Delivery"
"Choose what payment method enable for users in this group can choose";"@@Choose what payment method enable for users in this group can choose"
"Choose Plan";"@@Choose Plan"
"Publishing Fee";"@@Publishing Fee"
"- Commission Fee";"@@- Commission Fee"
"Feature Listing Fee";"@@Feature Listing Fee"